faq_id,topic,question,answer,intent_tags,escalation_required
FAQ-0001,foreign ownership,Can foreign buyers purchase Aqaar properties?,Aqaar can guide you on eligible projects and required documentation. Legal eligibility should be confirmed with the Aqaar team before reservation.,foreign ownership,false
FAQ-0002,viewing,Can I arrange a private viewing?,"Yes. Once your preferred project and contact details are confirmed, Aqaar can coordinate a private viewing or consultation.",viewing,false
FAQ-0003,investment,Which project is best for investment?,"The best option depends on budget, timeline, location preference, and yield expectations. The concierge can compare suitable projects.",investment,true
FAQ-0004,rental,Can Aqaar help with rental properties?,"Yes. Aqaar can help identify rental options based on location, budget, and move-in timeline.",rental,false
FAQ-0005,commercial,Does Aqaar offer commercial spaces?,"Yes. Aqaar can support retail, office, showroom, and mixed-use commercial inquiries.",commercial,false
FAQ-0006,payment,Are payment plans available?,Payment plans may vary by project and release. Aqaar should confirm current terms during consultation.,payment,true
FAQ-0007,handover,When will a project be handed over?,Handover timelines depend on project stage and inventory. Aqaar can confirm current dates for shortlisted options.,handover,false
FAQ-0008,service charges,Are there service charges?,Most managed communities include service charges. Aqaar can provide project-specific estimates when available.,service charges,false
FAQ-0009,foreign ownership,Can foreign buyers purchase Aqaar properties? (1),Aqaar can guide you on eligible projects and required documentation. Legal eligibility should be confirmed with the Aqaar team before reservation.,foreign ownership,true
FAQ-0010,viewing,Can I arrange a private viewing? (1),"Yes. Once your preferred project and contact details are confirmed, Aqaar can coordinate a private viewing or consultation.",viewing,false
FAQ-0011,investment,Which project is best for investment? (1),"The best option depends on budget, timeline, location preference, and yield expectations. The concierge can compare suitable projects.",investment,false
FAQ-0012,rental,Can Aqaar help with rental properties? (1),"Yes. Aqaar can help identify rental options based on location, budget, and move-in timeline.",rental,true
FAQ-0013,commercial,Does Aqaar offer commercial spaces? (1),"Yes. Aqaar can support retail, office, showroom, and mixed-use commercial inquiries.",commercial,false
FAQ-0014,payment,Are payment plans available? (1),Payment plans may vary by project and release. Aqaar should confirm current terms during consultation.,payment,false
FAQ-0015,handover,When will a project be handed over? (1),Handover timelines depend on project stage and inventory. Aqaar can confirm current dates for shortlisted options.,handover,true
FAQ-0016,service charges,Are there service charges? (1),Most managed communities include service charges. Aqaar can provide project-specific estimates when available.,service charges,false
FAQ-0017,foreign ownership,Can foreign buyers purchase Aqaar properties? (2),Aqaar can guide you on eligible projects and required documentation. Legal eligibility should be confirmed with the Aqaar team before reservation.,foreign ownership,false
FAQ-0018,viewing,Can I arrange a private viewing? (2),"Yes. Once your preferred project and contact details are confirmed, Aqaar can coordinate a private viewing or consultation.",viewing,true
FAQ-0019,investment,Which project is best for investment? (2),"The best option depends on budget, timeline, location preference, and yield expectations. The concierge can compare suitable projects.",investment,false
FAQ-0020,rental,Can Aqaar help with rental properties? (2),"Yes. Aqaar can help identify rental options based on location, budget, and move-in timeline.",rental,false
FAQ-0021,commercial,Does Aqaar offer commercial spaces? (2),"Yes. Aqaar can support retail, office, showroom, and mixed-use commercial inquiries.",commercial,true
FAQ-0022,payment,Are payment plans available? (2),Payment plans may vary by project and release. Aqaar should confirm current terms during consultation.,payment,false
FAQ-0023,handover,When will a project be handed over? (2),Handover timelines depend on project stage and inventory. Aqaar can confirm current dates for shortlisted options.,handover,false
FAQ-0024,service charges,Are there service charges? (2),Most managed communities include service charges. Aqaar can provide project-specific estimates when available.,service charges,true
FAQ-0025,foreign ownership,Can foreign buyers purchase Aqaar properties? (3),Aqaar can guide you on eligible projects and required documentation. Legal eligibility should be confirmed with the Aqaar team before reservation.,foreign ownership,false
FAQ-0026,viewing,Can I arrange a private viewing? (3),"Yes. Once your preferred project and contact details are confirmed, Aqaar can coordinate a private viewing or consultation.",viewing,false
FAQ-0027,investment,Which project is best for investment? (3),"The best option depends on budget, timeline, location preference, and yield expectations. The concierge can compare suitable projects.",investment,true
FAQ-0028,rental,Can Aqaar help with rental properties? (3),"Yes. Aqaar can help identify rental options based on location, budget, and move-in timeline.",rental,false
FAQ-0029,commercial,Does Aqaar offer commercial spaces? (3),"Yes. Aqaar can support retail, office, showroom, and mixed-use commercial inquiries.",commercial,false
FAQ-0030,payment,Are payment plans available? (3),Payment plans may vary by project and release. Aqaar should confirm current terms during consultation.,payment,true
FAQ-0031,handover,When will a project be handed over? (3),Handover timelines depend on project stage and inventory. Aqaar can confirm current dates for shortlisted options.,handover,false
FAQ-0032,service charges,Are there service charges? (3),Most managed communities include service charges. Aqaar can provide project-specific estimates when available.,service charges,false
