lead_id,created_at,purpose,detected_purpose_confidence,property_type,unit_type,project_id,project_name,location,budget_min,budget_max,currency,timeline,name,phone,email,business_use,investment_objective,contact_status,lead_score,lead_grade,unknown_fields,lead_summary,sales_handoff_message,source_package,source_url
AQ-V2-L-0001,2026-06-24T11:00:00.000Z,Buy,0.80,commercial,Freehold,22796319_20da_ee11_a2bf_00155d119841,Ajman One - PH II,Ajman,268600,331800,AED,immediate,unknown,unknown,unknown,unknown,unknown,unknown_contact,70,warm,name|phone|email|bathrooms|area|service_charges,Buy scenario for Ajman One - PH II; property type commercial; unit Freehold; location Ajman; budget AED 268600-331800; timeline immediate; unknowns name|phone|email|bathrooms|area|service_charges.,Aqaar V2 handoff AQ-V2-L-0001: Buy. Project: Ajman One - PH II. Location: Ajman. Budget: AED 268600-331800. Timeline: immediate. Score: 70 (warm). Name: unknown. Phone: unknown. Email: unknown. Source: https://www.aqaar.com/ajman-one-phase2.,AQAAR-KB-ACQ-FINAL,https://www.aqaar.com/ajman-one-phase2
AQ-V2-L-0002,2026-06-24T08:00:00.000Z,Rent,0.82,commercial,Commercial,66b8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Society Cooperative (Rumailah),Rumaila 1,unknown,unknown,unknown,30_days,unknown,unknown,unknown,unknown,unknown,unknown_contact,55,warm,name|phone|email|bathrooms|area|service_charges,Rent scenario for Ajman Society Cooperative (Rumailah); property type commercial; unit Commercial; location Rumaila 1; budget unknown; timeline 30_days; unknowns name|phone|email|bathrooms|area|service_charges.,Aqaar V2 handoff AQ-V2-L-0002: Rent. Project: Ajman Society Cooperative (Rumailah). Location: Rumaila 1. Budget: unknown. Timeline: 30_days. Score: 55 (warm). Name: unknown. Phone: unknown. Email: unknown. Source: https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Society%20Cooperative%20(Rumailah)&pageNumber=1&pageSize=100.,AQAAR-KB-ACQ-FINAL,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Society%20Cooperative%20(Rumailah)&pageNumber=1&pageSize=100
AQ-V2-L-0003,2026-06-24T05:00:00.000Z,Invest,0.83,commercial,Commercial,f6b7dd4b_0ad1_e811_a2b8_00155d119707,Al Andalus 4,unknown,19000,23000,AED,60_90_days,unknown,unknown,unknown,unknown,commercial_income_discussion,unknown_contact,60,warm,name|phone|email|bathrooms|area|service_charges,Invest scenario for Al Andalus 4; property type commercial; unit Commercial; location unknown; budget AED 19000-23000; timeline 60_90_days; unknowns name|phone|email|bathrooms|area|service_charges.,Aqaar V2 handoff AQ-V2-L-0003: Invest. Project: Al Andalus 4. Location: unknown. Budget: AED 19000-23000. Timeline: 60_90_days. Score: 60 (warm). Name: unknown. Phone: unknown. Email: unknown. Source: https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Andalus%204&pageNumber=1&pageSize=100.,AQAAR-KB-ACQ-FINAL,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Andalus%204&pageNumber=1&pageSize=100
AQ-V2-L-0004,2026-06-24T02:00:00.000Z,Commercial,0.85,commercial,Commercial,f6b7dd4b_0ad1_e811_a2b8_00155d119707,Al Andalus 4,unknown,20000,24000,AED,3_6_months,unknown,unknown,unknown,warehouse,unknown,unknown_contact,60,warm,name|phone|email|bathrooms|area|service_charges,Commercial scenario for Al Andalus 4; property type commercial; unit Commercial; location unknown; budget AED 20000-24000; timeline 3_6_months; unknowns name|phone|email|bathrooms|area|service_charges.,Aqaar V2 handoff AQ-V2-L-0004: Commercial. Project: Al Andalus 4. Location: unknown. Budget: AED 20000-24000. Timeline: 3_6_months. Score: 60 (warm). Name: unknown. Phone: unknown. Email: unknown. Source: https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Andalus%204&pageNumber=1&pageSize=100.,AQAAR-KB-ACQ-FINAL,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Andalus%204&pageNumber=1&pageSize=100
AQ-V2-L-0005,2026-06-23T23:00:00.000Z,Buy,0.86,commercial,Freehold,22796319_20da_ee11_a2bf_00155d119841,Ajman One - PH II,Ajman,331800,395000,AED,6_12_months,unknown,unknown,unknown,unknown,unknown,unknown_contact,70,warm,name|phone|email|bathrooms|area|service_charges,Buy scenario for Ajman One - PH II; property type commercial; unit Freehold; location Ajman; budget AED 331800-395000; timeline 6_12_months; unknowns name|phone|email|bathrooms|area|service_charges.,Aqaar V2 handoff AQ-V2-L-0005: Buy. Project: Ajman One - PH II. Location: Ajman. Budget: AED 331800-395000. Timeline: 6_12_months. Score: 70 (warm). Name: unknown. Phone: unknown. Email: unknown. Source: https://www.aqaar.com/ajman-one-phase2.,AQAAR-KB-ACQ-FINAL,https://www.aqaar.com/ajman-one-phase2
AQ-V2-L-0006,2026-06-23T20:00:00.000Z,Rent,0.88,commercial,Commercial,3ab8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 1,unknown,21120,24960,AED,unknown,unknown,unknown,unknown,unknown,unknown,unknown_contact,50,warm,name|phone|email|bathrooms|area|service_charges,Rent scenario for Al Berouj 1; property type commercial; unit Commercial; location unknown; budget AED 21120-24960; timeline unknown; unknowns name|phone|email|bathrooms|area|service_charges.,Aqaar V2 handoff AQ-V2-L-0006: Rent. Project: Al Berouj 1. Location: unknown. Budget: AED 21120-24960. Timeline: unknown. Score: 50 (warm). Name: unknown. Phone: unknown. Email: unknown. Source: https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%201&pageNumber=1&pageSize=100.,AQAAR-KB-ACQ-FINAL,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%201&pageNumber=1&pageSize=100
AQ-V2-L-0007,2026-06-23T17:00:00.000Z,Invest,0.89,commercial,Commercial,3eb8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 3,unknown,17940,21060,AED,immediate,unknown,unknown,unknown,unknown,commercial_income_discussion,unknown_contact,60,warm,name|phone|email|bathrooms|area|service_charges,Invest scenario for Al Berouj 3; property type commercial; unit Commercial; location unknown; budget AED 17940-21060; timeline immediate; unknowns name|phone|email|bathrooms|area|service_charges.,Aqaar V2 handoff AQ-V2-L-0007: Invest. Project: Al Berouj 3. Location: unknown. Budget: AED 17940-21060. Timeline: immediate. Score: 60 (warm). Name: unknown. Phone: unknown. Email: unknown. Source: https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%203&pageNumber=1&pageSize=100.,AQAAR-KB-ACQ-FINAL,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%203&pageNumber=1&pageSize=100
AQ-V2-L-0008,2026-06-23T14:00:00.000Z,Commercial,0.91,commercial,Commercial,3eb8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 3,unknown,13260,16380,AED,30_days,unknown,unknown,unknown,retail,unknown,unknown_contact,60,warm,name|phone|email|bathrooms|area|service_charges,Commercial scenario for Al Berouj 3; property type commercial; unit Commercial; location unknown; budget AED 13260-16380; timeline 30_days; unknowns name|phone|email|bathrooms|area|service_charges.,Aqaar V2 handoff AQ-V2-L-0008: Commercial. Project: Al Berouj 3. Location: unknown. Budget: AED 13260-16380. Timeline: 30_days. Score: 60 (warm). Name: unknown. Phone: unknown. Email: unknown. Source: https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%203&pageNumber=1&pageSize=100.,AQAAR-KB-ACQ-FINAL,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%203&pageNumber=1&pageSize=100
AQ-V2-L-0009,2026-06-23T11:00:00.000Z,Buy,0.92,commercial,Freehold,22796319_20da_ee11_a2bf_00155d119841,Ajman One - PH II,Ajman,284400,347600,AED,60_90_days,unknown,unknown,unknown,unknown,unknown,unknown_contact,70,warm,name|phone|email|bathrooms|area|service_charges,Buy scenario for Ajman One - PH II; property type commercial; unit Freehold; location Ajman; budget AED 284400-347600; timeline 60_90_days; unknowns name|phone|email|bathrooms|area|service_charges.,Aqaar V2 handoff AQ-V2-L-0009: Buy. Project: Ajman One - PH II. Location: Ajman. Budget: AED 284400-347600. Timeline: 60_90_days. Score: 70 (warm). Name: unknown. Phone: unknown. Email: unknown. Source: https://www.aqaar.com/ajman-one-phase2.,AQAAR-KB-ACQ-FINAL,https://www.aqaar.com/ajman-one-phase2
AQ-V2-L-0010,2026-06-23T08:00:00.000Z,Rent,0.94,commercial,Commercial,ecb7dd4b_0ad1_e811_a2b8_00155d119707,Al Bustan,unknown,34200,41400,AED,3_6_months,unknown,unknown,unknown,unknown,unknown,unknown_contact,60,warm,name|phone|email|bathrooms|area|service_charges,Rent scenario for Al Bustan; property type commercial; unit Commercial; location unknown; budget AED 34200-41400; timeline 3_6_months; unknowns name|phone|email|bathrooms|area|service_charges.,Aqaar V2 handoff AQ-V2-L-0010: Rent. Project: Al Bustan. Location: unknown. Budget: AED 34200-41400. Timeline: 3_6_months. Score: 60 (warm). Name: unknown. Phone: unknown. Email: unknown. Source: https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Bustan&pageNumber=1&pageSize=100.,AQAAR-KB-ACQ-FINAL,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Bustan&pageNumber=1&pageSize=100
AQ-V2-L-0011,2026-06-23T05:00:00.000Z,Invest,0.80,commercial,Commercial,feb7dd4b_0ad1_e811_a2b8_00155d119707,Al Durra,unknown,26400,31680,AED,6_12_months,unknown,unknown,unknown,unknown,commercial_income_discussion,unknown_contact,60,warm,name|phone|email|bathrooms|area|service_charges,Invest scenario for Al Durra; property type commercial; unit Commercial; location unknown; budget AED 26400-31680; timeline 6_12_months; unknowns name|phone|email|bathrooms|area|service_charges.,Aqaar V2 handoff AQ-V2-L-0011: Invest. Project: Al Durra. Location: unknown. Budget: AED 26400-31680. Timeline: 6_12_months. Score: 60 (warm). Name: unknown. Phone: unknown. Email: unknown. Source: https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Durra&pageNumber=1&pageSize=100.,AQAAR-KB-ACQ-FINAL,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Durra&pageNumber=1&pageSize=100
