lead_id,created_at,purpose,project_id,project_name,unit_id,unit_type,bedrooms_min,area_sqft,budget_min,budget_max,currency,location,timeline,name,phone,email,contact_status,lead_score,lead_grade,lead_summary,sales_handoff_message,source_url,source_document,unknown_fields
L-0001,2026-06-25T08:00:00.000Z,buy,ccb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Corniche Residences,ccb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,unknown,unknown,236000,236000,AED,Ajman / Ajman Corniche,immediate,unknown,unknown,unknown,unknown,75,hot,Purpose: buy; Project: Ajman Corniche Residences; Unit: Commercial; Budget: 236000-236000 AED; Timeline: immediate; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0001: buy inquiry for Ajman Corniche Residences. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0002,2026-06-25T05:00:00.000Z,rent,2eb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman One,2eb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,unknown,unknown,263000,263000,AED,Ajman,0-30 days,unknown,unknown,unknown,unknown,75,hot,Purpose: rent; Project: Ajman One; Unit: Commercial; Budget: 263000-263000 AED; Timeline: 0-30 days; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0002: rent inquiry for Ajman One. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0003,2026-06-25T02:00:00.000Z,invest,22796319_20da_ee11_a2bf_00155d119841,Ajman One - PH II,22796319_20da_ee11_a2bf_00155d119841_inventory,Freehold,1,unknown,316000,316000,AED,Ajman,this quarter,unknown,unknown,unknown,unknown,75,hot,Purpose: invest; Project: Ajman One - PH II; Unit: Freehold; Budget: 316000-316000 AED; Timeline: this quarter; Unknowns: name|phone|email.,Aqaar lead L-0003: invest inquiry for Ajman One - PH II. Use source https://www.aqaar.com/ajman-one-phase2. Confirm unknown fields before advising.,https://www.aqaar.com/ajman-one-phase2,AQAAR-KB-ACQ-FINAL-v3,name|phone|email
L-0004,2026-06-24T23:00:00.000Z,commercial,7f307ab5_a6a9_ea11_a2c3_00155d119619,Ajman Pearl,7f307ab5_a6a9_ea11_a2c3_00155d119619_inventory,Commercial,unknown,unknown,183500,183500,AED,Ajman,3-6 months,unknown,unknown,unknown,unknown,60,warm,Purpose: commercial; Project: Ajman Pearl; Unit: Commercial; Budget: 183500-183500 AED; Timeline: 3-6 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0004: commercial inquiry for Ajman Pearl. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Pearl&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Pearl&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0005,2026-06-24T20:00:00.000Z,buy,2a565476_ed0f_ee11_a2be_00155d119f33,Ajman Uptown,2a565476_ed0f_ee11_a2be_00155d119f33_inventory,Commercial,unknown,unknown,979000,979000,AED,Ajman,6-12 months,unknown,unknown,unknown,unknown,50,warm,Purpose: buy; Project: Ajman Uptown; Unit: Commercial; Budget: 979000-979000 AED; Timeline: 6-12 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0005: buy inquiry for Ajman Uptown. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Uptown&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Uptown&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0006,2026-06-24T17:00:00.000Z,rent,f6b7dd4b_0ad1_e811_a2b8_00155d119707,Al Andalus 4,f6b7dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,20000,20000,AED,Ajman,unknown,unknown,unknown,unknown,unknown,60,warm,Purpose: rent; Project: Al Andalus 4; Unit: Commercial; Budget: 20000-20000 AED; Timeline: unknown; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0006: rent inquiry for Al Andalus 4. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Andalus%204&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Andalus%204&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0007,2026-06-24T14:00:00.000Z,invest,96b8dd4b_0ad1_e811_a2b8_00155d119707,Al Arabi Building,96b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,35500,35500,AED,Ajman,immediate,unknown,unknown,unknown,unknown,75,hot,Purpose: invest; Project: Al Arabi Building; Unit: Commercial; Budget: 35500-35500 AED; Timeline: immediate; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0007: invest inquiry for Al Arabi Building. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Arabi%20Building&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Arabi%20Building&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0008,2026-06-24T11:00:00.000Z,commercial,3ab8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 1,3ab8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,1,unknown,19200,19200,AED,Ajman,0-30 days,unknown,unknown,unknown,unknown,75,hot,Purpose: commercial; Project: Al Berouj 1; Unit: Commercial; Budget: 19200-19200 AED; Timeline: 0-30 days; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0008: commercial inquiry for Al Berouj 1. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%201&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%201&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0009,2026-06-24T08:00:00.000Z,buy,3cb8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 2,3cb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,0,unknown,15600,15600,AED,Ajman,this quarter,unknown,unknown,unknown,unknown,75,hot,Purpose: buy; Project: Al Berouj 2; Unit: Commercial; Budget: 15600-15600 AED; Timeline: this quarter; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0009: buy inquiry for Al Berouj 2. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%202&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%202&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0010,2026-06-24T05:00:00.000Z,rent,3eb8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 3,3eb8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,0,unknown,15600,15600,AED,Ajman,3-6 months,unknown,unknown,unknown,unknown,60,warm,Purpose: rent; Project: Al Berouj 3; Unit: Commercial; Budget: 15600-15600 AED; Timeline: 3-6 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0010: rent inquiry for Al Berouj 3. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%203&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%203&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
L-0011,2026-06-24T02:00:00.000Z,invest,40b8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 4,40b8dd4b_0ad1_e811_a2b8_00155d119707_inventory,Commercial,0,unknown,15600,15600,AED,Ajman,6-12 months,unknown,unknown,unknown,unknown,60,warm,Purpose: invest; Project: Al Berouj 4; Unit: Commercial; Budget: 15600-15600 AED; Timeline: 6-12 months; Unknowns: name|phone|email|payment_plan.,Aqaar lead L-0011: invest inquiry for Al Berouj 4. Use source https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%204&pageNumber=1&pageSize=100. Confirm unknown fields before advising.,https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%204&pageNumber=1&pageSize=100,AQAAR-KB-ACQ-FINAL-v3,name|phone|email|payment_plan
