persona_id,persona,goals,pain_points,budget_range,questions_asked,likely_objections,preferred_tone
PER-0001,First Time Buyer,Secure a well-priced first home with financing clarity and manageable service charges,"Uncertainty about process, fear of overpaying, limited comparison confidence","OMR 65,000 - OMR 180,000",What is the total cost? Can I finance it? Which area is best for long-term living?,I need to compare more options; I am unsure about monthly payments,"polished, consultative, concise"
PER-0002,Luxury Buyer,"Acquire a prestigious residence with privacy, views, service, and long-term exclusivity","Limited true luxury inventory, privacy concerns, high expectations for finish and service","OMR 450,000 - OMR 1,800,000",What makes this project exclusive? Are there private viewings? What services are included?,"I need assurance on quality, discretion, and future value","polished, consultative, concise"
PER-0003,Investor,"Find properties with rental demand, capital appreciation, and exit liquidity","ROI uncertainty, vacancy risk, unclear service charges, lack of market comparables","OMR 90,000 - OMR 650,000",What is the expected ROI? Which project has the strongest rental demand?,I need evidence of yield and resale demand,"polished, consultative, concise"
PER-0004,Commercial Buyer,"Secure visible, accessible commercial space for business use or lease yield","Footfall uncertainty, fit-out cost, tenant demand, parking constraints","OMR 120,000 - OMR 900,000",What is the frontage? Is parking available? What tenant categories fit this unit?,I need confidence in footfall and operational suitability,"polished, consultative, concise"
PER-0005,Rental Seeker,"Find a suitable rental home quickly with clear location, amenities, and budget fit","Availability changes quickly, unclear included services, move-in timing pressure","OMR 450 - OMR 1,900 monthly",Is it available now? What is included? Can I view this week?,I need something sooner or closer to work,"polished, consultative, concise"
PER-0006,Foreign Investor,"Understand ownership eligibility, legal process, rental potential, and secure asset quality","Regulatory uncertainty, remote buying risk, currency concerns, documentation needs","OMR 150,000 - OMR 1,200,000",Can foreigners buy here? What documents are required? Can Aqaar manage leasing?,I need legal clarity before sharing documents or funds,"polished, consultative, concise"
PER-0007,First Time Buyer Segment 1,Secure a well-priced first home with financing clarity and manageable service charges,"Uncertainty about process, fear of overpaying, limited comparison confidence","OMR 65,000 - OMR 180,000",What is the total cost? Can I finance it? Which area is best for long-term living?,I need to compare more options; I am unsure about monthly payments,"polished, consultative, concise"
PER-0008,Luxury Buyer Segment 1,"Acquire a prestigious residence with privacy, views, service, and long-term exclusivity","Limited true luxury inventory, privacy concerns, high expectations for finish and service","OMR 450,000 - OMR 1,800,000",What makes this project exclusive? Are there private viewings? What services are included?,"I need assurance on quality, discretion, and future value","polished, consultative, concise"
PER-0009,Investor Segment 1,"Find properties with rental demand, capital appreciation, and exit liquidity","ROI uncertainty, vacancy risk, unclear service charges, lack of market comparables","OMR 90,000 - OMR 650,000",What is the expected ROI? Which project has the strongest rental demand?,I need evidence of yield and resale demand,"polished, consultative, concise"
PER-0010,Commercial Buyer Segment 1,"Secure visible, accessible commercial space for business use or lease yield","Footfall uncertainty, fit-out cost, tenant demand, parking constraints","OMR 120,000 - OMR 900,000",What is the frontage? Is parking available? What tenant categories fit this unit?,I need confidence in footfall and operational suitability,"polished, consultative, concise"
PER-0011,Rental Seeker Segment 1,"Find a suitable rental home quickly with clear location, amenities, and budget fit","Availability changes quickly, unclear included services, move-in timing pressure","OMR 450 - OMR 1,900 monthly",Is it available now? What is included? Can I view this week?,I need something sooner or closer to work,"polished, consultative, concise"
PER-0012,Foreign Investor Segment 1,"Understand ownership eligibility, legal process, rental potential, and secure asset quality","Regulatory uncertainty, remote buying risk, currency concerns, documentation needs","OMR 150,000 - OMR 1,200,000",Can foreigners buy here? What documents are required? Can Aqaar manage leasing?,I need legal clarity before sharing documents or funds,"polished, consultative, concise"
PER-0013,First Time Buyer Segment 2,Secure a well-priced first home with financing clarity and manageable service charges,"Uncertainty about process, fear of overpaying, limited comparison confidence","OMR 65,000 - OMR 180,000",What is the total cost? Can I finance it? Which area is best for long-term living?,I need to compare more options; I am unsure about monthly payments,"polished, consultative, concise"
PER-0014,Luxury Buyer Segment 2,"Acquire a prestigious residence with privacy, views, service, and long-term exclusivity","Limited true luxury inventory, privacy concerns, high expectations for finish and service","OMR 450,000 - OMR 1,800,000",What makes this project exclusive? Are there private viewings? What services are included?,"I need assurance on quality, discretion, and future value","polished, consultative, concise"
PER-0015,Investor Segment 2,"Find properties with rental demand, capital appreciation, and exit liquidity","ROI uncertainty, vacancy risk, unclear service charges, lack of market comparables","OMR 90,000 - OMR 650,000",What is the expected ROI? Which project has the strongest rental demand?,I need evidence of yield and resale demand,"polished, consultative, concise"
PER-0016,Commercial Buyer Segment 2,"Secure visible, accessible commercial space for business use or lease yield","Footfall uncertainty, fit-out cost, tenant demand, parking constraints","OMR 120,000 - OMR 900,000",What is the frontage? Is parking available? What tenant categories fit this unit?,I need confidence in footfall and operational suitability,"polished, consultative, concise"
PER-0017,Rental Seeker Segment 2,"Find a suitable rental home quickly with clear location, amenities, and budget fit","Availability changes quickly, unclear included services, move-in timing pressure","OMR 450 - OMR 1,900 monthly",Is it available now? What is included? Can I view this week?,I need something sooner or closer to work,"polished, consultative, concise"
PER-0018,Foreign Investor Segment 2,"Understand ownership eligibility, legal process, rental potential, and secure asset quality","Regulatory uncertainty, remote buying risk, currency concerns, documentation needs","OMR 150,000 - OMR 1,200,000",Can foreigners buy here? What documents are required? Can Aqaar manage leasing?,I need legal clarity before sharing documents or funds,"polished, consultative, concise"
PER-0019,First Time Buyer Segment 3,Secure a well-priced first home with financing clarity and manageable service charges,"Uncertainty about process, fear of overpaying, limited comparison confidence","OMR 65,000 - OMR 180,000",What is the total cost? Can I finance it? Which area is best for long-term living?,I need to compare more options; I am unsure about monthly payments,"polished, consultative, concise"
PER-0020,Luxury Buyer Segment 3,"Acquire a prestigious residence with privacy, views, service, and long-term exclusivity","Limited true luxury inventory, privacy concerns, high expectations for finish and service","OMR 450,000 - OMR 1,800,000",What makes this project exclusive? Are there private viewings? What services are included?,"I need assurance on quality, discretion, and future value","polished, consultative, concise"
PER-0021,Investor Segment 3,"Find properties with rental demand, capital appreciation, and exit liquidity","ROI uncertainty, vacancy risk, unclear service charges, lack of market comparables","OMR 90,000 - OMR 650,000",What is the expected ROI? Which project has the strongest rental demand?,I need evidence of yield and resale demand,"polished, consultative, concise"
PER-0022,Commercial Buyer Segment 3,"Secure visible, accessible commercial space for business use or lease yield","Footfall uncertainty, fit-out cost, tenant demand, parking constraints","OMR 120,000 - OMR 900,000",What is the frontage? Is parking available? What tenant categories fit this unit?,I need confidence in footfall and operational suitability,"polished, consultative, concise"
PER-0023,Rental Seeker Segment 3,"Find a suitable rental home quickly with clear location, amenities, and budget fit","Availability changes quickly, unclear included services, move-in timing pressure","OMR 450 - OMR 1,900 monthly",Is it available now? What is included? Can I view this week?,I need something sooner or closer to work,"polished, consultative, concise"
PER-0024,Foreign Investor Segment 3,"Understand ownership eligibility, legal process, rental potential, and secure asset quality","Regulatory uncertainty, remote buying risk, currency concerns, documentation needs","OMR 150,000 - OMR 1,200,000",Can foreigners buy here? What documents are required? Can Aqaar manage leasing?,I need legal clarity before sharing documents or funds,"polished, consultative, concise"
