project_id,project_name,official_project_url,city,district,property_type,sub_type,status,starting_price_value,starting_price_currency,price_status,project_description,key_facts_json,contact_json,image_urls_json,source_links_json,last_verified,confidence_score,disclaimers_json
60b8dd4b_0ad1_e811_a2b8_00155d119707,Ajman American International School,https://www.aqaar.com/projects/60b8dd4b-0ad1-e811-a2b8-00155d119707,Ajman,unknown,education,education,active,unknown,unknown,on_request,unknown,"{""project_for"":""Leasing"",""sales_status_text"":""unknown"",""latitude"":""25.417402"",""longitude"":""55.502815""}","{""telephone"":""600515155"",""email"":""info@aqaar.com"",""whatsapp"":""unknown""}",[],"[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20American%20International%20School&pageNumber=1&pageSize=100""]",2026-06-24,0.62,"[""No official available unit price found; pricing marked on_request or sold_out.""]"
ccb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Corniche Residences,https://www.aqaar.com/projects/ccb8dd4b-0ad1-e811-a2b8-00155d119707,Ajman,unknown,residential,residential,sold_out,236000,AED,official,"Ajman Corniche Residences is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary architecture and quality craftsmanship, the development ensures a comfortable and refined living experience for its residents. The units within the project feature diverse layouts and high-quality finishes, meeting global standards to provide a sophisticated environment. Whether it's spacious family flat or modern apartments, each property is designed to accommodate a wide range of preferences. Located in a prime and accessible area, This Project is strategically positioned close to key urban hubs, making it a convenient choice for both families and professionals. With its attention to detail and focus on delivering a high-quality living experience, It is the perfect choice for those seeking a distinctive and well-rounded residential or commercial property.","{""project_for"":""Sales"",""sales_status_text"":""100% Sold out"",""latitude"":""25.4045314"",""longitude"":""55.4300412""}","{""telephone"":""600515155"",""email"":""info@aqaar.com"",""whatsapp"":""971600515155""}","[""https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728617872/Aqaar/Main%20Portal/community/images/Ajman_Corniche_Residences/408411956-1728617872.jpg""]","[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Corniche%20Residences&pageNumber=1&pageSize=100""]",2026-06-24,0.86,"[""Price captured from official Aqaar API start_price field.""]"
2eb8dd4b_0ad1_e811_a2b8_00155d119707,Ajman One,https://www.aqaar.com/projects/2eb8dd4b-0ad1-e811-a2b8-00155d119707,Ajman,unknown,residential,residential,sold_out,263000,AED,official,"Ajman One is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary architecture and quality craftsmanship, the development ensures a comfortable and refined living experience for its residents. The units within the project feature diverse layouts and high-quality finishes, meeting global standards to provide a sophisticated environment. Whether it's spacious family flat or modern apartments, each property is designed to accommodate a wide range of preferences. Located in a prime and accessible area, This Project is strategically positioned close to key urban hubs, making it a convenient choice for both families and professionals. With its attention to detail and focus on delivering a high-quality living experience, It is the perfect choice for those seeking a distinctive and well-rounded residential or commercial property.","{""project_for"":""Sales"",""sales_status_text"":""100% Sold out"",""latitude"":""25.394384"",""longitude"":""55.4312389""}","{""telephone"":""600515155"",""email"":""info@aqaar.com"",""whatsapp"":""971600515155""}","[""https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1727932428/Aqaar/Main%20Portal/community/images/Ajman_One/Artboard%204-1727932428.png""]","[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One&pageNumber=1&pageSize=100""]",2026-06-24,0.86,"[""Price captured from official Aqaar API start_price field.""]"
22796319_20da_ee11_a2bf_00155d119841,Ajman One - PH II,https://www.aqaar.com/projects/22796319-20da-ee11-a2bf-00155d119841,Ajman,unknown,residential,FreeHold,active,316000,AED,official,unknown,"{""project_for"":""Sales"",""sales_status_text"":""Townhouse,1,2,3 bedroom for sale"",""latitude"":""unknown"",""longitude"":""unknown""}","{""telephone"":""unknown"",""email"":""unknown"",""whatsapp"":""unknown""}","[""https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728877145/Aqaar/Main%20Portal/community/images/Ajman_One_PH_II/02-BEDROOM%2003-1728877145.jpg""]","[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20One%20-%20PH%20II&pageNumber=1&pageSize=100""]",2026-06-24,0.62,"[""Price captured from official Aqaar API start_price field.""]"
7f307ab5_a6a9_ea11_a2c3_00155d119619,Ajman Pearl,https://www.aqaar.com/projects/7f307ab5-a6a9-ea11-a2c3-00155d119619,Ajman,unknown,residential,residential,sold_out,183500,AED,official,"Ajman Pearl is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary architecture and quality craftsmanship, the development ensures a comfortable and refined living experience for its residents. The units within the project feature diverse layouts and high-quality finishes, meeting global standards to provide a sophisticated environment. Whether it's spacious family flat or modern apartments, each property is designed to accommodate a wide range of preferences. Located in a prime and accessible area, This Project is strategically positioned close to key urban hubs, making it a convenient choice for both families and professionals. With its attention to detail and focus on delivering a high-quality living experience, It is the perfect choice for those seeking a distinctive and well-rounded residential or commercial property.","{""project_for"":""Sales"",""sales_status_text"":""100% Sold out"",""latitude"":""25.3925983"",""longitude"":""55.4680152""}","{""telephone"":""600515155"",""email"":""info@aqaar.com"",""whatsapp"":""971600515155""}","[""https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728629177/Aqaar/Main%20Portal/community/images/Ajman_Pearl/4333-1728629177.png""]","[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Pearl&pageNumber=1&pageSize=100""]",2026-06-24,0.86,"[""Price captured from official Aqaar API start_price field.""]"
66b8dd4b_0ad1_e811_a2b8_00155d119707,Ajman Society Cooperative (Rumailah),https://www.aqaar.com/projects/66b8dd4b-0ad1-e811-a2b8-00155d119707,Ajman,unknown,mixed_use,mixed_use,active,unknown,unknown,on_request,unknown,"{""project_for"":""Leasing"",""sales_status_text"":""unknown"",""latitude"":""25.4004258"",""longitude"":""55.4335779""}","{""telephone"":""600515155"",""email"":""info@aqaar.com"",""whatsapp"":""unknown""}",[],"[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Society%20Cooperative%20(Rumailah)&pageNumber=1&pageSize=100""]",2026-06-24,0.62,"[""No official available unit price found; pricing marked on_request or sold_out.""]"
2a565476_ed0f_ee11_a2be_00155d119f33,Ajman Uptown,https://www.aqaar.com/projects/2a565476-ed0f-ee11-a2be-00155d119f33,Ajman,unknown,residential,residential,active,979000,AED,official,"Ajman Uptown is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary architecture and quality craftsmanship, the development ensures a comfortable and refined living experience for its residents. The units within the project feature diverse layouts and high-quality finishes, meeting global standards to provide a sophisticated environment. Whether it's spacious family flat or modern apartments, each property is designed to accommodate a wide range of preferences. Located in a prime and accessible area, This Project is strategically positioned close to key urban hubs, making it a convenient choice for both families and professionals. With its attention to detail and focus on delivering a high-quality living experience, It is the perfect choice for those seeking a distinctive and well-rounded residential or commercial property.","{""project_for"":""Sales"",""sales_status_text"":""unknown"",""latitude"":""unknown"",""longitude"":""unknown""}","{""telephone"":""600515155"",""email"":""info@aqaar.com"",""whatsapp"":""971600515155""}",[],"[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Ajman%20Uptown&pageNumber=1&pageSize=100""]",2026-06-24,0.86,"[""Price captured from official Aqaar API start_price field.""]"
f6b7dd4b_0ad1_e811_a2b8_00155d119707,Al Andalus 4,https://www.aqaar.com/projects/f6b7dd4b-0ad1-e811-a2b8-00155d119707,Ajman,unknown,residential,residential,active,20000,AED,official,"Al Andalus 4 is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary architecture and quality craftsmanship, the development ensures a comfortable and refined living experience for its residents. The units within the project feature diverse layouts and high-quality finishes, meeting global standards to provide a sophisticated environment. Whether it's spacious family flat or modern apartments, each property is designed to accommodate a wide range of preferences. Located in a prime and accessible area, This Project is strategically positioned close to key urban hubs, making it a convenient choice for both families and professionals. With its attention to detail and focus on delivering a high-quality living experience, It is the perfect choice for those seeking a distinctive and well-rounded residential or commercial property.","{""project_for"":""Leasing"",""sales_status_text"":""1,2,3 Bedrooms for rent"",""latitude"":""25.392999"",""longitude"":""55.435431""}","{""telephone"":""600515155"",""email"":""info@aqaar.com"",""whatsapp"":""971543087467""}","[""https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728629764/Aqaar/Main%20Portal/community/images/Al_Andalus_4/_DSC1988-1728629764.jpg""]","[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Andalus%204&pageNumber=1&pageSize=100""]",2026-06-24,0.86,"[""Price captured from official Aqaar API start_price field.""]"
96b8dd4b_0ad1_e811_a2b8_00155d119707,Al Arabi Building,https://www.aqaar.com/projects/96b8dd4b-0ad1-e811-a2b8-00155d119707,Ajman,unknown,residential,residential,active,35500,AED,official,"Al Arabi Building is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary architecture and quality craftsmanship, the development ensures a comfortable and refined living experience for its residents. The units within the project feature diverse layouts and high-quality finishes, meeting global standards to provide a sophisticated environment. Whether it's spacious family flat or modern apartments, each property is designed to accommodate a wide range of preferences. Located in a prime and accessible area, This Project is strategically positioned close to key urban hubs, making it a convenient choice for both families and professionals. With its attention to detail and focus on delivering a high-quality living experience, It is the perfect choice for those seeking a distinctive and well-rounded residential or commercial property.","{""project_for"":""Leasing"",""sales_status_text"":""1,2,3 Bedrooms for rent"",""latitude"":""25.405031"",""longitude"":""55.44081""}","{""telephone"":""600515155"",""email"":""info@aqaar.com"",""whatsapp"":""971600515155""}","[""https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728554493/Aqaar/Main%20Portal/community/images/Al_Arabi_Building/_DSC1783-1728554493.jpg""]","[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Arabi%20Building&pageNumber=1&pageSize=100""]",2026-06-24,0.86,"[""Price captured from official Aqaar API start_price field.""]"
3ab8dd4b_0ad1_e811_a2b8_00155d119707,Al Berouj 1,https://www.aqaar.com/projects/3ab8dd4b-0ad1-e811-a2b8-00155d119707,Ajman,unknown,residential,residential,active,19200,AED,official,"Al Berouj 1 is a premier real estate development that exemplifies thoughtful design and modern living. The project offers a mix of residential units and commercial spaces, catering to a variety of customer needs. With its blend of contemporary architecture and quality craftsmanship, the development ensures a comfortable and refined living experience for its residents. The units within the project feature diverse layouts and high-quality finishes, meeting global standards to provide a sophisticated environment. Whether it's spacious family flat or modern apartments, each property is designed to accommodate a wide range of preferences. Located in a prime and accessible area, This Project is strategically positioned close to key urban hubs, making it a convenient choice for both families and professionals. With its attention to detail and focus on delivering a high-quality living experience, It is the perfect choice for those seeking a distinctive and well-rounded residential or commercial property.","{""project_for"":""Leasing"",""sales_status_text"":""1,2,3 Bedrooms for rent"",""latitude"":""25.403287"",""longitude"":""55.440907""}","{""telephone"":""600515155"",""email"":""info@aqaar.com"",""whatsapp"":""971600515155""}","[""https://res.cloudinary.com/dotdjffbb/image/upload/q_auto/f_auto/v1728879447/Aqaar/Main%20Portal/community/images/Al_Berouj_1/B1-1728879447.png""]","[""https://prodadmin-aqaar.realcube.estate/api/globalSearch?search=Al%20Berouj%201&pageNumber=1&pageSize=100""]",2026-06-24,0.86,"[""Price captured from official Aqaar API start_price field.""]"
