location_id,location_name,category,description,buyer_fit,rental_demand,capital_growth_signal,lifestyle_tags
LOC-0001,Muscat Bay,coastal luxury,Sea-view premium district with resort-led appeal,family,medium,stable,waterfront
LOC-0002,Waterfront District,urban waterfront,Mixed-use promenade district with rental and lifestyle demand,luxury,high,positive,family
LOC-0003,Commercial Boulevard,commercial corridor,High-visibility business and retail corridor,investor,premium,strong,retail
LOC-0004,Garden District,family community,Green community for family living and practical ownership,commercial,medium,stable,hospitality
LOC-0005,Marina Quarter,marina lifestyle,"Boat, promenade, retail, and compact apartment demand",rental,high,positive,commute
LOC-0006,Al Mouj Vicinity,premium coastal,Established premium lifestyle catchment near marina amenities,family,premium,strong,waterfront
LOC-0007,Qurum,central prestige,Mature lifestyle district with executive and family relevance,luxury,medium,stable,family
LOC-0008,Azaiba,airport access,Accessible residential and commercial district,investor,high,positive,retail
LOC-0009,Madinat Al Sultan Qaboos,central residential,Established residential district with premium family appeal,commercial,premium,strong,hospitality
LOC-0010,Seeb Growth Corridor,growth market,Value-oriented expansion corridor with family and rental demand,rental,medium,stable,commute
LOC-0011,Muscat Bay Micro Market 1,coastal luxury,Sea-view premium district with resort-led appeal,family,high,positive,waterfront
LOC-0012,Waterfront District Micro Market 1,urban waterfront,Mixed-use promenade district with rental and lifestyle demand,luxury,premium,strong,family
LOC-0013,Commercial Boulevard Micro Market 1,commercial corridor,High-visibility business and retail corridor,investor,medium,stable,retail
LOC-0014,Garden District Micro Market 1,family community,Green community for family living and practical ownership,commercial,high,positive,hospitality
LOC-0015,Marina Quarter Micro Market 1,marina lifestyle,"Boat, promenade, retail, and compact apartment demand",rental,premium,strong,commute
LOC-0016,Al Mouj Vicinity Micro Market 1,premium coastal,Established premium lifestyle catchment near marina amenities,family,medium,stable,waterfront
LOC-0017,Qurum Micro Market 1,central prestige,Mature lifestyle district with executive and family relevance,luxury,high,positive,family
LOC-0018,Azaiba Micro Market 1,airport access,Accessible residential and commercial district,investor,premium,strong,retail
LOC-0019,Madinat Al Sultan Qaboos Micro Market 1,central residential,Established residential district with premium family appeal,commercial,medium,stable,hospitality
LOC-0020,Seeb Growth Corridor Micro Market 1,growth market,Value-oriented expansion corridor with family and rental demand,rental,high,positive,commute
LOC-0021,Muscat Bay Micro Market 2,coastal luxury,Sea-view premium district with resort-led appeal,family,premium,strong,waterfront
LOC-0022,Waterfront District Micro Market 2,urban waterfront,Mixed-use promenade district with rental and lifestyle demand,luxury,medium,stable,family
LOC-0023,Commercial Boulevard Micro Market 2,commercial corridor,High-visibility business and retail corridor,investor,high,positive,retail
LOC-0024,Garden District Micro Market 2,family community,Green community for family living and practical ownership,commercial,premium,strong,hospitality
LOC-0025,Marina Quarter Micro Market 2,marina lifestyle,"Boat, promenade, retail, and compact apartment demand",rental,medium,stable,commute
LOC-0026,Al Mouj Vicinity Micro Market 2,premium coastal,Established premium lifestyle catchment near marina amenities,family,high,positive,waterfront
LOC-0027,Qurum Micro Market 2,central prestige,Mature lifestyle district with executive and family relevance,luxury,premium,strong,family
LOC-0028,Azaiba Micro Market 2,airport access,Accessible residential and commercial district,investor,medium,stable,retail
