project_id,project_name,project_type,location,unit_type,bedrooms,price_min_omr,price_max_omr,status,target_customer,investment_score,keywords
PRJ-0001,Dusit Thani,Branded Residences,Muscat Bay,Studio,0,65000,125000,launch,"Luxury buyer, foreign investor, lifestyle investor",68,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0002,Mawjan,Waterfront Community,Waterfront District,1BR,1,76000,146000,available,"First time buyer, investor, rental seeker, young professional",69,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0003,Aqaar Commercial Boulevard,Commercial Mixed Use,Commercial Boulevard,2BR,2,87000,167000,limited,"Commercial buyer, SME owner, yield investor",70,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0004,Aqaar Signature Villas,Luxury Villas,Muscat Bay,3BR,3,98000,188000,coming_soon,"Luxury buyer, family buyer, foreign investor",71,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0005,Aqaar Marina Residences,Marina Apartments,Waterfront District,Penthouse,3,109000,209000,launch,"Investor, rental seeker, first time buyer",72,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0006,Aqaar Garden Residences,Family Apartments,Garden District,Villa,4,120000,230000,available,"First time buyer, family buyer, rental seeker",73,"family, garden, apartment, courtyard, school, value"
PRJ-0007,Dusit Thani Townhouse Release 1,Branded Residences,Muscat Bay,Townhouse,3,131000,251000,limited,"Luxury buyer, foreign investor, lifestyle investor",74,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0008,Mawjan Retail Release 1,Waterfront Community,Waterfront District,Retail,0,142000,272000,coming_soon,"First time buyer, investor, rental seeker, young professional",75,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0009,Aqaar Commercial Boulevard Office Release 1,Commercial Mixed Use,Commercial Boulevard,Office,0,153000,293000,launch,"Commercial buyer, SME owner, yield investor",76,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0010,Aqaar Signature Villas Showroom Release 1,Luxury Villas,Muscat Bay,Showroom,0,164000,314000,available,"Luxury buyer, family buyer, foreign investor",77,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0011,Aqaar Marina Residences Studio Release 1,Marina Apartments,Waterfront District,Studio,0,175000,335000,limited,"Investor, rental seeker, first time buyer",78,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0012,Aqaar Garden Residences 1BR Release 1,Family Apartments,Garden District,1BR,1,186000,356000,coming_soon,"First time buyer, family buyer, rental seeker",79,"family, garden, apartment, courtyard, school, value"
PRJ-0013,Dusit Thani 2BR Release 2,Branded Residences,Muscat Bay,2BR,2,197000,377000,launch,"Luxury buyer, foreign investor, lifestyle investor",80,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0014,Mawjan 3BR Release 2,Waterfront Community,Waterfront District,3BR,3,208000,398000,available,"First time buyer, investor, rental seeker, young professional",81,"mawjan, waterfront, apartments, rental, family, promenade, investment"
PRJ-0015,Aqaar Commercial Boulevard Penthouse Release 2,Commercial Mixed Use,Commercial Boulevard,Penthouse,3,219000,419000,limited,"Commercial buyer, SME owner, yield investor",82,"commercial, retail, office, boulevard, yield, tenant, business"
PRJ-0016,Aqaar Signature Villas Villa Release 2,Luxury Villas,Muscat Bay,Villa,4,230000,440000,coming_soon,"Luxury buyer, family buyer, foreign investor",83,"villa, luxury, family, private pool, muscat, sea view"
PRJ-0017,Aqaar Marina Residences Townhouse Release 2,Marina Apartments,Waterfront District,Townhouse,3,241000,461000,launch,"Investor, rental seeker, first time buyer",84,"marina, apartment, rent, investor, waterfront, amenities"
PRJ-0018,Aqaar Garden Residences Retail Release 2,Family Apartments,Garden District,Retail,0,252000,482000,available,"First time buyer, family buyer, rental seeker",85,"family, garden, apartment, courtyard, school, value"
PRJ-0019,Dusit Thani Office Release 3,Branded Residences,Muscat Bay,Office,0,263000,503000,limited,"Luxury buyer, foreign investor, lifestyle investor",86,"dusit, thani, muscat bay, branded residence, luxury, sea view, resort, investment"
PRJ-0020,Mawjan Showroom Release 3,Waterfront Community,Waterfront District,Showroom,0,274000,524000,coming_soon,"First time buyer, investor, rental seeker, young professional",87,"mawjan, waterfront, apartments, rental, family, promenade, investment"
